Response Variables (Y),Predictors (X),p_value
Business Mirror_inflation_y,GMA News Online_welfare_x,0.0003
Business Mirror_inflation_y,ABS-CBN News_foreign_affairs_x,0.0007
Business Mirror_inflation_y,Cebu Daily News_technology_x,0.0023
Business Mirror_inflation_y,The Manila Times_foreign_affairs_x,0.0029
Business Mirror_inflation_y,Business World_welfare_x,0.0059
Business Mirror_inflation_y,ABS-CBN News_environment_x,0.0061
SunStar Philippines_inflation_y,Business World_welfare_x,0.0006
SunStar Philippines_inflation_y,ABS-CBN News_welfare_x,0.0015
SunStar Philippines_inflation_y,Business Mirror_technology_x,0.0016
SunStar Philippines_inflation_y,GMA News Online_welfare_x,0.0062
GMA News Online_inflation_y,Cebu Daily News_technology_x,0.0006
GMA News Online_inflation_y,Business World_welfare_x,0.0087
GMA News Online_inflation_y,GMA News Online_foreign_affairs_x,0.0098
ABS-CBN News_inflation_y,Business World_welfare_x,0.0001
ABS-CBN News_inflation_y,Business Mirror_technology_x,0.0009
ABS-CBN News_inflation_y,Rappler_environment_x,0.0021
ABS-CBN News_inflation_y,InterAksyon_business_x,0.0092
Philstar.com_inflation_y,Rappler_environment_x,0.0
Philstar.com_inflation_y,ABS-CBN News_business_x,0.0004
Philstar.com_inflation_y,Manila Standard_environment_x,0.0007
Philstar.com_inflation_y,Philstar.com_foreign_affairs_x,0.0008
Philstar.com_inflation_y,Business Mirror_environment_x,0.002
Philstar.com_inflation_y,The Manila Times_foreign_affairs_x,0.0029
Philstar.com_inflation_y,GMA News Online_welfare_x,0.0029
Philstar.com_inflation_y,ABS-CBN News_environment_x,0.0044
Philstar.com_inflation_y,SunStar Philippines_environment_x,0.0052
Philstar.com_inflation_y,Business Mirror_foreign_affairs_x,0.0071
Manila Standard_inflation_y,GMA News Online_welfare_x,0.0
Manila Standard_inflation_y,The Manila Times_foreign_affairs_x,0.0044
Manila Standard_inflation_y,ABS-CBN News_welfare_x,0.0072
Manila Standard_inflation_y,Manila Standard_foreign_affairs_x,0.0091
Daily Tribune_inflation_y,Rappler_environment_x,0.0011
Daily Tribune_inflation_y,SunStar Philippines_welfare_x,0.0018
Daily Tribune_inflation_y,Philstar.com_foreign_affairs_x,0.0041
Daily Tribune_inflation_y,Manila Standard_foreign_affairs_x,0.0088
