Month,Day,Inquirer.net,Manila Bulletin,The Asian Journal USA,The Manila Times,Business World,Eagle News,Metro Cebu News,Tempo,Abante Tonite,Philippine News Agency,InterAksyon,Business Mirror,The Summit Express,Our Daily News Online,Current PH,SunStar Philippines,Rappler,The Bohol Chronicle,Baguio Midland Courier,GMA News Online,Cebu Daily News,ABS-CBN News,Philstar.com,Manila Standard,Daily Tribune,Davao Today,Sunday Punch,Visayan Daily Star,PTV News,Mindanao Times,PhilNews.XYZ,Northern Dispatch
January,1,0,10,0,19,2,0,0,0,0,0,1,9,0,0,0,5,0,0,0,5,0,2,11,7,8,2,0,0,0,0,0,0
January,2,0,13,0,36,13,0,0,1,0,0,1,1,0,0,0,5,1,1,0,3,2,6,16,6,6,3,0,0,0,0,0,0
January,3,0,13,0,147,15,0,0,0,0,0,1,21,0,0,0,12,5,0,0,4,1,4,18,8,3,0,0,0,1,0,0,0
January,4,0,13,0,201,8,0,2,0,0,0,2,11,0,0,0,12,4,1,0,4,0,6,22,13,7,0,0,0,0,0,0,0
January,5,0,13,0,220,8,0,1,0,0,0,1,13,0,0,0,12,5,0,0,4,2,1,22,5,17,3,0,0,1,0,0,0
January,6,0,8,0,157,0,0,0,0,0,0,0,6,0,0,0,7,3,0,0,2,0,3,12,6,10,1,0,2,0,0,0,0
January,7,0,17,0,31,7,0,0,1,0,0,1,10,1,0,0,5,0,0,0,1,0,1,7,7,5,1,0,0,0,0,0,0
January,8,0,14,0,42,15,0,1,0,0,0,3,10,0,0,0,17,4,0,0,5,1,3,15,14,13,2,0,3,0,0,0,0
January,9,0,17,0,241,14,0,0,2,0,0,1,18,0,0,0,8,2,0,0,1,0,2,21,12,13,1,0,3,0,0,0,0
January,10,0,15,0,315,19,0,0,1,0,0,2,15,0,0,0,16,5,0,0,7,2,5,26,14,16,1,0,3,0,0,0,0
January,11,0,22,0,275,15,0,0,0,0,0,1,18,1,0,0,9,5,0,0,2,0,8,29,14,12,2,0,3,0,0,0,0
January,12,0,12,0,273,7,0,5,0,0,0,0,9,0,0,0,10,3,0,0,8,3,13,16,12,9,0,0,0,0,0,0,0
January,13,0,4,0,151,0,0,1,0,0,0,0,4,0,0,0,6,3,0,0,4,3,3,14,11,12,2,0,0,0,0,0,0
January,14,0,12,0,10,5,0,0,0,0,0,0,2,0,0,0,3,0,0,0,3,1,2,15,9,10,1,2,0,0,0,0,0
January,15,0,16,0,39,13,0,1,0,0,0,0,22,0,0,0,10,5,0,0,3,2,5,29,8,14,1,0,3,0,0,0,0
January,16,0,20,0,211,13,0,0,1,0,0,4,26,0,0,0,16,5,1,0,3,0,7,27,11,12,2,0,1,0,0,0,0
January,17,0,22,0,361,15,0,0,0,0,0,1,10,0,0,0,14,5,0,0,9,2,8,26,14,15,0,0,0,0,0,0,0
January,18,0,19,0,314,17,0,1,0,0,0,1,25,1,0,0,11,7,1,0,8,1,8,28,13,16,0,0,1,1,0,0,0
January,19,0,23,0,304,11,0,4,1,0,0,2,4,0,0,0,10,4,0,0,6,1,10,20,13,12,4,0,1,0,0,0,0
January,20,0,13,0,123,0,0,0,2,0,0,0,11,0,0,0,6,2,0,0,1,0,5,20,8,12,0,0,0,0,0,0,0
January,21,0,7,0,13,3,0,0,0,0,0,1,3,0,0,0,0,2,0,0,2,0,1,19,8,15,0,2,1,0,0,0,0
January,22,0,21,0,53,14,0,1,0,0,0,1,17,0,0,0,13,7,0,0,6,3,8,15,13,9,0,0,1,0,0,0,0
January,23,0,21,0,328,17,0,0,0,0,0,0,24,0,0,0,10,4,0,0,2,6,7,29,11,10,1,0,0,0,0,0,0
January,24,0,18,0,314,13,0,1,1,0,0,1,17,0,0,0,8,5,0,0,5,1,13,24,13,15,1,0,3,0,0,0,0
January,25,0,16,0,319,11,0,1,0,0,0,1,19,0,0,0,13,5,0,0,5,2,8,30,9,9,1,0,0,1,0,0,0
January,26,0,23,0,355,11,0,2,0,0,0,0,8,0,0,0,16,3,0,0,5,3,10,20,15,17,2,0,3,0,0,0,0
January,27,0,7,0,146,0,0,0,1,0,0,0,6,1,0,0,7,1,0,0,3,0,3,17,10,19,0,0,2,0,0,0,0
January,28,0,9,0,13,5,0,0,0,0,0,0,5,0,0,0,11,2,0,0,1,4,2,19,7,15,0,3,0,0,0,0,0
January,29,0,20,0,41,10,0,2,0,0,0,1,28,0,0,0,17,4,0,0,8,0,13,16,14,20,0,0,2,1,0,0,0
January,30,0,13,0,251,19,0,0,0,0,0,1,18,0,0,0,19,13,1,0,14,1,0,34,20,10,0,0,2,1,0,0,0
January,31,0,0,0,352,19,0,1,1,0,0,4,28,0,0,0,17,3,0,0,7,0,3,24,14,12,1,0,3,0,0,0,0
February,1,0,0,0,316,17,0,0,0,0,0,0,13,0,0,0,5,5,0,0,3,2,2,23,13,12,3,0,0,0,0,0,0
February,2,0,0,0,317,15,0,2,0,0,0,1,19,0,0,0,17,3,0,0,9,6,8,26,13,13,1,0,1,0,0,0,0
February,3,0,0,0,186,0,0,1,0,0,0,0,5,1,0,0,8,1,0,0,3,3,2,15,11,9,0,0,1,0,0,0,0
February,4,0,0,0,13,3,0,0,0,0,0,0,5,0,0,0,6,4,0,0,3,2,2,19,8,11,0,1,0,0,0,0,0
February,5,0,0,0,37,8,0,1,0,0,0,3,15,0,0,0,16,4,1,0,5,2,8,24,9,6,1,0,1,2,0,0,0
February,6,0,0,0,290,14,0,0,0,0,0,2,16,0,0,0,16,6,1,0,4,4,10,18,14,12,0,0,1,0,0,0,0
February,7,0,0,0,397,15,0,1,0,0,0,1,23,1,0,0,12,1,0,0,6,3,9,23,15,11,0,0,1,0,0,0,0
February,8,0,0,0,350,18,0,2,0,0,0,1,16,0,0,0,7,5,0,0,5,2,8,19,23,15,1,0,1,1,0,0,0
February,9,0,0,0,353,11,0,0,0,0,0,0,13,0,0,0,10,4,0,0,2,1,6,25,13,13,4,0,3,1,0,0,0
February,10,0,0,0,196,0,0,1,0,0,0,0,12,0,0,0,5,3,0,0,4,5,7,17,6,11,0,0,2,0,0,0,0
February,11,0,0,0,25,5,0,0,0,0,0,0,5,1,0,0,1,4,0,0,3,0,2,14,15,9,0,4,0,0,0,0,0
February,12,0,0,0,45,12,0,2,1,0,0,3,22,0,0,0,10,1,2,0,9,0,7,36,24,14,1,0,1,1,0,0,0
February,13,0,0,0,273,10,0,0,1,0,0,1,16,0,0,0,7,4,1,0,5,3,8,33,15,9,1,0,0,0,0,0,0
February,14,0,0,0,327,10,0,1,0,0,0,1,17,0,0,0,9,4,0,0,5,1,3,20,19,8,1,0,1,1,0,0,0
February,15,0,0,0,352,12,0,0,1,0,0,0,14,0,0,0,8,1,1,0,2,2,6,19,17,11,0,0,1,0,0,0,0
February,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
February,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
February,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
February,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
February,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
February,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
February,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
February,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
February,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
February,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
February,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
February,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
February,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
February,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
March,1,0,0,0,393,10,0,1,0,0,0,2,14,0,0,0,12,5,0,0,2,2,6,23,18,8,0,0,1,1,0,0,0
March,2,0,0,0,208,0,0,0,0,0,0,0,10,0,0,0,3,2,0,0,1,3,2,28,5,17,0,0,0,0,0,0,0
March,3,0,0,0,35,5,0,0,0,0,0,0,9,0,0,0,10,9,0,0,2,1,6,22,8,14,1,2,0,0,0,0,1
March,4,0,0,0,58,9,0,0,0,0,0,1,20,0,0,0,17,2,1,0,9,4,7,32,14,14,1,0,2,4,0,0,0
March,5,0,0,0,350,16,0,0,0,0,0,2,13,0,0,0,11,5,0,0,7,0,4,25,15,18,0,0,0,0,0,0,0
March,6,0,0,0,414,12,0,1,0,0,0,2,22,2,0,0,7,9,0,0,11,1,7,29,15,8,0,0,3,3,0,0,0
