Month,Day,Inquirer.net,Manila Bulletin,The Asian Journal USA,The Manila Times,Business World,Eagle News,Metro Cebu News,Tempo,Abante Tonite,Philippine News Agency,InterAksyon,Business Mirror,The Summit Express,Our Daily News Online,Current PH,SunStar Philippines,Rappler,The Bohol Chronicle,Baguio Midland Courier,GMA News Online,Cebu Daily News,ABS-CBN News,Philstar.com,Manila Standard,Daily Tribune,Davao Today,Sunday Punch,Visayan Daily Star,PTV News,Mindanao Times,PhilNews.XYZ,Northern Dispatch
January,1,0,0,0,2,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0
January,2,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,4,0,0,1,0,2,0,0,0,1,0,0,0
January,3,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0
January,4,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4,0,1,0,1,1,0,0,0,0,0,0,0
January,5,0,1,0,3,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,1,0,1,4,1,2,0,0,0,0,0,0,0
January,6,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0
January,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0
January,8,0,1,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
January,9,0,2,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,3,2,4,2,0,0,0,0,0,0,0
January,10,0,4,0,1,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,4,0,0,2,2,3,0,0,0,0,0,0,0
January,11,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,5,0,4,6,1,4,0,0,0,1,0,0,0
January,12,0,4,0,3,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,3,1,3,3,3,3,0,0,0,2,0,0,0
January,13,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,3,2,4,6,0,0,0,0,0,0,0
January,14,0,7,0,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,2,6,4,6,0,0,0,0,0,0,0
January,15,0,3,0,0,1,0,0,0,0,0,0,5,0,0,0,1,0,0,0,1,1,3,3,2,4,0,0,0,0,0,0,0
January,16,0,7,0,4,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4,0,2,2,2,3,0,0,0,0,0,0,0
January,17,0,3,0,1,2,0,0,0,0,0,0,4,0,0,0,2,2,0,0,3,0,0,4,1,6,0,0,0,0,0,0,0
January,18,0,2,0,3,1,0,0,0,0,0,1,5,0,0,0,2,2,0,0,3,0,3,5,1,7,0,0,0,0,0,0,0
January,19,0,1,0,5,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,4,1,2,0,0,0,0,0,0,0
January,20,0,3,0,4,0,0,0,0,0,0,0,3,0,0,1,2,1,0,0,3,0,0,2,2,3,0,0,0,0,0,0,0
January,21,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,2,1,0,0,0,0,0,0,0
January,22,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,2,0,0,2,0,2,4,3,2,0,0,0,0,0,0,0
