Month,Day,Inquirer.net,Manila Bulletin,The Asian Journal USA,The Manila Times,Business World,Eagle News,Metro Cebu News,Tempo,Abante Tonite,Philippine News Agency,InterAksyon,Business Mirror,The Summit Express,Our Daily News Online,Current PH,SunStar Philippines,Rappler,The Bohol Chronicle,Baguio Midland Courier,GMA News Online,Cebu Daily News,ABS-CBN News,Philstar.com,Manila Standard,Daily Tribune,Davao Today,Sunday Punch,Visayan Daily Star,PTV News,Mindanao Times,PhilNews.XYZ,Northern Dispatch
January,1,0,10,0,3,4,0,0,0,0,0,1,8,0,0,0,3,1,0,0,1,0,2,8,10,9,2,0,0,0,0,0,0
January,2,0,4,0,8,6,0,0,0,0,0,0,2,0,0,0,3,3,1,0,1,1,1,12,2,4,3,0,0,0,0,0,0
January,3,0,7,0,30,5,0,0,0,0,0,0,10,0,0,0,5,3,1,0,1,0,2,6,2,5,0,0,1,0,0,0,0
January,4,0,12,0,24,5,0,0,0,0,0,0,5,0,0,0,4,3,0,0,4,1,2,6,9,4,0,0,0,0,0,0,0
January,5,0,9,0,34,9,0,0,0,0,0,0,11,0,0,0,4,2,0,0,0,0,1,4,1,9,3,0,0,1,0,0,0
January,6,0,4,0,25,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,9,5,7,1,0,1,0,0,0,0
January,7,0,6,0,3,2,0,0,0,0,0,0,6,0,0,0,1,1,0,0,1,2,2,4,2,6,1,0,0,0,0,0,0
January,8,0,11,0,8,9,0,1,0,0,0,0,7,0,0,0,4,3,1,0,1,1,4,8,9,9,2,0,1,1,0,0,0
January,9,0,13,0,39,10,0,0,0,0,0,0,10,0,0,0,3,1,0,0,2,1,2,10,10,9,1,0,0,1,0,0,0
January,10,0,14,0,39,11,0,0,0,0,0,1,7,0,0,0,7,5,1,0,5,0,7,8,8,12,1,0,1,1,0,0,0
January,11,0,9,0,56,9,0,0,0,0,0,0,18,0,0,0,3,4,0,0,4,0,2,13,3,8,2,0,1,1,0,0,0
January,12,0,15,0,35,13,0,1,0,0,0,1,7,0,0,0,5,5,0,0,6,3,5,10,10,9,0,0,0,0,0,0,0
January,13,0,4,0,30,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,2,0,16,6,8,2,0,1,0,0,0,0
January,14,0,12,0,3,3,0,0,0,0,0,0,4,0,0,0,3,1,0,0,0,0,4,9,9,10,1,0,0,0,0,0,0
January,15,0,16,0,13,9,0,0,0,0,0,0,12,0,0,0,5,2,0,0,4,0,8,21,8,11,1,0,1,1,0,0,0
January,16,0,12,0,43,8,0,0,0,0,0,0,12,0,0,0,2,3,0,0,3,0,5,7,6,8,2,0,1,0,0,0,0
January,17,0,14,0,70,15,0,0,0,0,0,1,9,0,0,0,4,1,0,0,4,1,7,12,7,12,0,0,1,0,0,0,0
January,18,0,14,0,74,11,0,0,0,0,0,0,16,0,0,0,5,1,0,0,4,0,4,16,6,15,0,0,1,0,0,0,0
January,19,0,8,0,59,9,0,1,0,0,0,0,4,0,0,0,1,4,0,0,4,1,6,10,8,9,4,0,0,0,0,0,0
January,20,0,3,0,36,0,0,0,0,0,0,0,6,0,0,0,5,2,0,0,0,0,3,13,4,14,0,0,0,0,0,0,0
January,21,0,4,0,3,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,4,5,0,0,1,0,0,0,0
January,22,0,9,0,12,13,0,0,0,0,0,1,10,0,0,0,4,2,0,0,3,1,1,10,5,6,0,0,1,0,0,0,0
January,23,0,12,0,52,5,0,0,0,0,0,0,17,0,0,0,4,1,0,0,0,0,0,12,6,4,1,0,0,0,0,0,0
January,24,0,11,0,55,16,0,0,0,0,0,1,10,0,0,0,4,6,0,0,5,0,1,11,8,11,1,0,0,0,0,0,0
January,25,0,11,0,59,7,0,0,0,0,0,3,10,0,0,1,4,2,0,0,3,0,3,11,3,6,1,0,1,0,0,0,0
January,26,0,14,0,54,3,0,1,0,0,0,0,5,0,0,0,3,5,0,0,5,0,2,7,10,8,2,0,1,0,0,0,0
January,27,0,3,0,43,0,0,0,0,0,0,0,2,0,0,0,2,2,0,0,2,0,0,7,7,6,0,0,2,0,0,0,0
January,28,0,1,0,8,4,0,0,0,0,0,0,6,1,0,0,3,2,0,0,2,2,2,10,5,8,0,0,0,0,0,0,0
January,29,0,12,0,9,12,0,1,0,0,0,0,16,0,0,5,6,2,0,0,5,1,2,11,8,8,0,0,2,0,0,0,0
January,30,0,9,0,49,10,0,2,0,0,0,0,9,0,0,0,2,1,0,0,4,1,0,15,7,6,0,0,0,0,0,0,0
January,31,0,0,0,51,15,0,0,0,0,0,2,18,1,0,0,6,3,0,0,5,0,3,15,7,8,1,0,1,1,0,0,0
February,1,0,0,0,67,14,0,0,0,0,0,1,9,0,0,0,1,0,0,0,3,1,2,13,10,15,3,0,0,1,0,0,0
February,2,0,0,0,53,6,0,1,0,0,0,1,16,0,0,0,9,2,0,0,2,0,1,10,9,15,1,0,0,0,0,0,0
February,3,0,0,0,42,0,0,0,0,0,0,0,1,0,0,0,5,2,0,0,1,1,0,8,5,8,0,0,0,0,0,0,0
February,4,0,0,0,5,5,0,0,0,0,0,1,6,0,0,0,2,0,0,0,0,0,1,8,4,1,0,0,0,0,0,0,0
February,5,0,0,0,7,15,0,0,0,0,0,1,10,0,0,0,5,3,0,0,2,1,3,9,7,12,1,0,0,0,0,0,0
February,6,0,0,0,69,15,0,0,0,0,0,3,16,0,0,0,2,2,1,0,2,1,5,14,7,4,0,0,0,0,0,0,0
February,7,0,0,0,86,9,0,0,0,0,0,0,14,0,0,0,4,1,0,0,4,0,2,9,3,6,0,0,1,0,0,0,0
February,8,0,0,0,71,10,0,0,0,0,0,0,7,0,0,0,2,1,0,0,4,3,6,9,9,12,1,0,0,1,0,0,0
February,9,0,0,0,66,4,0,0,0,0,0,1,4,0,0,0,4,3,0,0,1,1,5,9,5,8,4,0,0,1,0,0,0
February,10,0,0,0,43,0,0,0,0,0,0,0,4,0,0,0,5,2,0,0,1,0,1,8,2,4,0,0,1,0,0,0,0
February,11,0,0,0,5,1,0,0,0,0,0,0,5,0,0,0,2,2,0,0,2,0,2,3,7,9,0,2,0,0,0,0,0
February,12,0,0,0,20,11,0,0,0,0,0,0,8,0,0,1,3,1,0,0,8,0,2,15,16,4,1,0,1,0,0,0,0
February,13,0,0,0,50,10,0,0,0,0,0,0,13,0,0,0,4,3,0,0,1,0,2,10,4,2,1,0,0,2,0,0,0
February,14,0,0,0,63,7,0,0,0,0,0,1,9,0,0,0,7,2,0,0,5,0,4,8,4,5,1,0,0,0,0,0,0
February,15,0,0,0,77,6,0,0,0,0,0,1,5,0,0,0,5,3,0,0,5,3,6,12,7,5,0,0,0,0,0,0,0
