Month,Day,Inquirer.net,Manila Bulletin,The Asian Journal USA,The Manila Times,Business World,Eagle News,Metro Cebu News,Tempo,Abante Tonite,Philippine News Agency,InterAksyon,Business Mirror,The Summit Express,Our Daily News Online,Current PH,SunStar Philippines,Rappler,The Bohol Chronicle,Baguio Midland Courier,GMA News Online,Cebu Daily News,ABS-CBN News,Philstar.com,Manila Standard,Daily Tribune,Davao Today,Sunday Punch,Visayan Daily Star,PTV News,Mindanao Times,PhilNews.XYZ,Northern Dispatch
January,1,0,3,0,1,1,0,0,0,0,0,0,3,0,0,0,2,1,0,0,2,0,2,8,3,8,1,1,0,0,0,0,0
January,2,0,3,0,3,4,0,0,0,0,0,0,2,0,0,0,6,0,0,0,6,0,1,2,0,7,0,0,0,1,0,0,0
January,3,0,5,0,1,2,0,0,0,0,0,0,5,2,0,0,5,1,0,0,1,1,5,5,6,4,0,0,0,1,0,0,0
January,4,0,7,0,3,2,0,1,0,0,0,1,7,0,0,0,6,1,0,0,0,0,2,5,1,5,0,0,0,0,0,0,0
January,5,0,4,0,4,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,2,1,1,3,6,4,0,0,1,0,0,0,0
January,6,0,1,0,4,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,1,0,2,7,4,3,0,0,0,0,0,0,0
January,7,0,5,0,1,1,0,0,0,0,0,0,2,1,0,1,3,1,0,0,1,0,1,4,1,6,0,1,0,0,0,0,0
January,8,0,5,0,0,1,0,0,0,0,0,0,5,0,0,0,5,0,0,0,1,1,0,6,5,10,0,0,1,1,0,0,0
January,9,0,7,0,4,2,0,0,0,0,0,0,2,0,0,0,4,0,0,0,4,0,6,4,3,11,0,0,0,0,0,0,0
January,10,0,4,0,11,1,0,0,0,0,0,0,4,0,0,0,3,1,0,0,4,0,2,6,2,8,0,0,0,0,0,0,0
January,11,0,7,0,4,2,0,0,0,0,0,0,3,0,0,0,2,1,0,0,3,0,3,4,2,10,0,0,0,2,0,0,0
January,12,0,8,0,8,1,0,0,0,0,0,0,4,0,0,0,1,2,0,0,3,1,3,4,3,5,0,0,0,0,0,0,0
January,13,0,4,0,3,0,0,0,0,0,0,0,1,0,0,0,3,1,0,0,3,0,0,6,3,7,1,0,2,0,0,0,0
January,14,0,5,0,0,1,0,0,0,0,0,0,3,0,0,0,1,0,0,0,1,0,3,3,0,7,0,1,0,0,0,0,0
January,15,0,7,0,0,0,0,0,0,0,0,0,2,0,0,0,6,1,1,0,2,1,2,3,1,11,0,0,3,0,0,0,0
January,16,0,7,0,6,1,0,0,0,0,0,0,3,0,0,0,14,0,0,0,2,1,3,4,2,7,0,0,2,0,0,0,0
January,17,0,4,0,7,1,0,0,0,0,0,0,5,0,0,0,3,0,0,0,3,0,3,4,1,10,0,0,1,0,0,0,0
January,18,0,5,0,8,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,5,0,2,5,3,11,0,0,0,0,0,0,0
January,19,0,10,0,7,1,0,1,0,0,0,1,0,0,0,0,8,4,0,0,2,2,1,3,3,7,0,0,3,0,0,0,0
January,20,0,7,0,1,0,0,0,0,0,0,0,4,0,0,1,4,1,0,0,2,0,2,7,4,11,0,0,0,0,0,0,0
January,21,0,2,0,3,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,6,2,7,0,2,0,0,0,0,0
January,22,0,6,0,0,2,0,0,0,0,0,0,2,0,0,0,13,0,0,0,2,0,2,8,3,8,0,0,1,0,0,0,0
January,23,0,6,0,7,0,0,0,0,0,0,0,6,0,0,0,9,2,0,0,6,1,1,8,4,7,0,0,1,0,0,0,0
January,24,0,9,0,12,6,0,0,0,0,0,0,4,0,0,0,7,0,0,0,3,3,1,8,2,3,0,0,0,2,0,0,0
January,25,0,7,0,6,0,0,0,0,0,0,0,4,0,0,0,2,2,0,0,2,0,1,3,5,7,1,0,0,0,0,0,0
January,26,0,5,0,7,1,0,0,0,0,0,0,2,0,0,0,5,0,0,0,1,3,0,4,1,12,1,0,0,0,0,0,0
January,27,0,4,0,2,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,1,2,2,5,6,0,0,1,0,0,0,0
January,28,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,3,6,6,7,0,1,0,0,0,0,0
