Month,Day,Inquirer.net,Manila Bulletin,The Asian Journal USA,The Manila Times,Business World,Eagle News,Metro Cebu News,Tempo,Abante Tonite,Philippine News Agency,InterAksyon,Business Mirror,The Summit Express,Our Daily News Online,Current PH,SunStar Philippines,Rappler,The Bohol Chronicle,Baguio Midland Courier,GMA News Online,Cebu Daily News,ABS-CBN News,Philstar.com,Manila Standard,Daily Tribune,Davao Today,Sunday Punch,Visayan Daily Star,PTV News,Mindanao Times,PhilNews.XYZ,Northern Dispatch
January,1,0,5,0,8,3,0,0,0,0,0,0,4,0,0,0,1,0,0,0,1,0,0,7,4,4,0,0,0,0,0,0,0
January,2,0,7,0,1,8,0,0,0,0,0,1,1,0,0,0,2,1,0,0,0,0,2,5,2,2,0,0,0,0,0,0,0
January,3,0,6,0,10,6,0,0,0,0,0,0,10,0,0,0,3,2,0,0,2,0,1,8,3,2,0,0,0,0,0,0,0
January,4,0,8,0,12,8,0,0,0,0,0,1,2,0,0,0,1,0,0,0,1,1,1,4,3,2,0,0,1,0,0,0,0
January,5,0,11,0,16,6,0,0,0,0,0,1,5,0,0,0,2,3,0,0,3,1,5,6,3,7,0,0,1,2,0,0,0
January,6,0,5,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,7,2,5,0,0,1,0,0,0,0
January,7,0,5,0,1,4,0,0,0,0,0,1,3,0,0,1,0,0,0,0,0,0,1,3,1,1,0,0,0,0,0,0,0
January,8,0,10,0,5,8,0,0,0,0,0,0,3,0,0,0,1,1,1,0,1,2,3,12,6,4,0,0,1,2,0,0,0
January,9,0,5,0,9,7,0,0,0,0,0,0,3,0,0,0,5,1,0,0,1,0,4,10,3,5,0,0,0,0,0,0,0
January,10,0,2,0,22,5,0,0,0,0,0,0,3,0,0,0,2,1,0,0,3,0,2,7,5,4,0,0,1,0,0,0,0
January,11,0,7,0,19,10,0,0,0,0,0,0,7,1,0,0,2,0,0,0,3,0,3,10,3,3,0,0,1,0,0,0,0
January,12,0,4,0,23,8,0,0,0,0,0,0,4,0,0,0,3,1,0,0,6,1,6,10,3,10,0,0,0,0,0,0,0
January,13,0,0,0,28,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2,1,13,4,1,0,0,0,0,0,0,0
January,14,0,2,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,5,1,0,0,0,0,0,0,0
January,15,0,6,0,6,6,0,0,0,0,0,0,4,0,0,0,0,2,0,0,2,0,1,12,2,7,0,0,0,0,0,0,0
January,16,0,3,0,19,5,0,0,0,0,0,0,10,0,0,0,1,0,0,0,0,0,1,2,2,2,0,0,0,0,0,0,0
January,17,0,4,0,29,7,0,0,0,0,0,0,3,0,0,0,2,0,0,0,3,0,3,5,2,2,0,0,0,0,0,0,0
January,18,0,9,0,29,5,0,0,0,0,0,1,4,0,0,0,0,1,0,0,3,1,1,4,4,4,0,0,0,0,0,0,0
January,19,0,4,0,33,8,0,0,0,0,0,1,4,0,0,0,1,4,0,0,2,0,2,7,2,3,0,0,0,0,0,0,0
January,20,0,2,0,12,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,1,4,1,2,0,0,0,0,0,0,0
January,21,0,0,0,2,2,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,1,1,2,1,0,0,0,0,0,0,0
January,22,0,6,0,4,7,0,0,0,0,0,1,3,0,0,0,1,1,0,0,3,0,2,6,5,7,0,0,0,0,0,0,0
January,23,0,4,0,31,3,0,0,0,0,0,1,3,0,0,0,2,0,0,0,1,0,1,6,3,2,0,0,0,0,0,0,0
January,24,0,5,0,13,8,0,1,0,0,0,1,2,0,0,0,1,1,0,0,3,0,2,7,4,4,0,0,0,1,0,0,0
January,25,0,4,0,17,7,0,0,0,0,0,0,5,0,0,1,3,1,0,0,1,0,4,4,1,2,0,0,0,0,0,0,0
January,26,0,4,0,28,5,0,0,0,0,0,0,8,0,0,0,1,2,0,0,3,0,2,4,5,2,0,0,0,0,0,0,0
January,27,0,3,0,21,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,1,0,3,2,0,0,0,0,0,0,0,0
January,28,0,4,0,2,2,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,3,1,4,0,0,0,0,0,0,0
January,29,0,8,0,0,8,0,0,0,0,0,0,6,0,0,6,3,0,0,0,0,1,0,7,4,4,0,0,0,0,0,0,0
January,30,0,1,0,15,7,0,1,0,0,0,1,5,0,0,0,3,1,0,0,0,1,0,4,5,3,0,0,1,0,0,0,0
January,31,0,0,0,28,10,0,0,0,0,0,2,8,0,0,0,2,1,0,0,1,0,2,9,2,4,0,0,1,0,0,0,0
February,1,0,0,0,31,11,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,1,1,7,5,6,0,0,0,2,0,0,0
February,2,0,0,0,24,6,0,1,0,0,0,0,2,0,0,0,3,1,0,0,2,0,2,10,1,3,0,0,0,0,0,0,0
