News Source,business,economy,environment,foreign_affairs,health,inflation,politics,technology,welfare
Inquirer.net,0,0,0,0,0,0,0,0,0
Manila Bulletin,451,283,257,62,257,144,283,283,166
The Asian Journal USA,0,0,0,0,0,0,0,0,0
The Manila Times,21260,5245,8040,275,8043,2380,5243,12919,793
Business World,1103,806,506,100,506,660,806,838,121
Eagle News,0,0,0,0,0,0,0,0,0
Metro Cebu News,83,28,25,0,25,16,28,29,3
Tempo,15,0,3,0,3,0,0,0,1
Abante Tonite,0,0,0,0,0,0,0,0,0
Philippine News Agency,0,0,0,0,0,0,0,0,0
InterAksyon,101,51,62,15,62,40,51,66,25
Business Mirror,1471,957,826,182,826,437,957,1057,326
The Summit Express,15,3,6,0,6,1,3,41,5
Our Daily News Online,0,0,0,0,0,0,0,0,0
Current PH,3,9,8,1,8,16,9,7,4
SunStar Philippines,970,389,699,64,699,140,389,539,609
Rappler,468,275,300,110,300,88,275,297,123
The Bohol Chronicle,13,6,13,0,13,1,6,6,2
Baguio Midland Courier,0,0,0,0,0,0,0,0,0
GMA News Online,497,285,339,233,339,153,285,339,292
Cebu Daily News,181,88,149,29,149,43,88,107,99
ABS-CBN News,612,297,316,130,316,197,297,390,226
Philstar.com,2292,1037,1184,311,1184,659,1037,1162,714
Manila Standard,1361,746,808,204,808,328,746,1015,481
Daily Tribune,1366,903,914,313,914,383,903,1016,924
Davao Today,79,83,83,1,83,2,83,50,11
Sunday Punch,28,3,14,0,14,2,3,9,26
Visayan Daily Star,91,71,70,3,70,23,71,65,74
PTV News,42,52,54,24,54,21,52,50,56
Mindanao Times,0,0,0,0,0,0,0,0,0
PhilNews.XYZ,0,0,0,0,0,0,0,0,0
Northern Dispatch,3,1,7,0,7,0,1,1,0
