Month,Day,Inquirer.net,Manila Bulletin,The Asian Journal USA,The Manila Times,Business World,Eagle News,Metro Cebu News,Tempo,Abante Tonite,Philippine News Agency,InterAksyon,Business Mirror,The Summit Express,Our Daily News Online,Current PH,SunStar Philippines,Rappler,The Bohol Chronicle,Baguio Midland Courier,GMA News Online,Cebu Daily News,ABS-CBN News,Philstar.com,Manila Standard,Daily Tribune,Davao Today,Sunday Punch,Visayan Daily Star,PTV News,Mindanao Times,PhilNews.XYZ,Northern Dispatch
January,1,0,11,0,7,2,0,0,0,0,0,1,8,0,0,0,4,0,0,0,1,1,0,9,10,5,2,0,0,0,0,0,0
January,2,0,7,0,8,5,0,0,1,0,0,1,0,0,0,0,2,0,1,0,1,1,0,6,2,3,3,0,0,1,0,0,0
January,3,0,10,0,35,3,0,0,1,0,0,1,10,1,0,0,6,1,0,0,3,0,1,10,3,2,0,0,0,0,0,0,0
January,4,0,10,0,52,4,0,0,0,0,0,0,6,0,0,0,4,2,0,0,2,1,2,9,7,6,0,0,0,0,0,0,0
January,5,0,10,0,67,3,0,0,0,0,0,0,8,0,0,0,8,2,0,0,0,0,0,8,3,7,3,0,0,0,0,0,0
January,6,0,8,0,43,0,0,0,0,0,0,0,2,0,0,0,2,2,0,0,1,0,3,5,6,4,1,0,0,0,0,0,0
January,7,0,9,0,1,2,0,0,0,0,0,0,1,0,0,1,1,0,0,0,2,0,0,8,7,7,1,1,0,0,0,0,0
January,8,0,9,0,19,3,0,0,0,0,0,0,4,0,0,0,6,0,0,0,1,0,1,8,8,7,2,0,0,1,0,0,0
January,9,0,5,0,87,3,0,0,1,0,0,0,9,0,0,0,5,1,0,0,0,0,3,6,6,11,1,0,0,0,0,0,0
January,10,0,9,0,108,3,0,0,0,0,0,0,8,0,0,0,4,5,0,0,5,0,3,12,7,8,1,0,1,0,0,0,0
January,11,0,5,0,99,3,0,0,0,0,0,1,4,0,0,0,3,2,1,0,0,1,1,12,3,2,2,0,1,1,0,0,0
January,12,0,10,0,95,2,0,1,0,0,0,0,6,0,0,0,7,1,0,0,3,0,4,6,9,4,0,0,0,1,0,0,0
January,13,0,5,0,56,1,0,0,0,0,0,0,2,0,0,0,1,3,0,0,0,2,1,7,5,8,2,0,0,0,0,0,0
January,14,0,5,0,5,2,0,0,0,0,0,0,7,0,0,0,2,0,0,0,1,0,0,9,7,3,1,1,0,0,0,0,0
January,15,0,8,0,11,6,0,1,0,0,0,0,8,0,0,0,7,2,0,0,2,3,0,9,3,6,1,0,0,0,0,0,0
January,16,0,10,0,71,4,0,0,0,0,0,0,11,0,0,0,11,2,0,0,2,0,1,10,6,7,2,0,1,1,0,0,0
January,17,0,6,0,131,7,0,0,0,0,0,1,4,0,0,0,5,1,0,0,2,0,3,2,9,5,0,0,1,1,0,0,0
January,18,0,12,0,101,6,0,0,0,0,0,0,7,0,0,0,5,1,1,0,2,2,2,4,4,13,0,0,1,0,0,0,0
January,19,0,11,0,90,1,0,0,0,0,0,0,4,0,0,0,8,2,0,0,4,0,6,7,9,11,4,0,1,1,0,0,0
January,20,0,7,0,52,0,0,0,0,0,0,0,6,0,0,0,7,3,0,0,0,0,3,12,6,6,0,0,0,0,0,0,0
January,21,0,7,0,5,3,0,1,0,0,0,0,6,0,0,0,2,2,0,0,0,0,1,6,4,6,0,0,1,0,0,0,0
January,22,0,12,0,24,6,0,0,0,0,0,1,9,0,0,0,7,3,0,0,7,1,4,5,5,6,0,0,2,0,0,0,0
January,23,0,13,0,88,9,0,0,0,0,0,0,14,0,0,0,4,4,0,0,1,0,0,9,3,7,1,0,0,1,0,0,0
January,24,0,10,0,115,3,0,0,0,0,0,0,9,0,0,0,4,2,0,0,3,0,1,5,9,5,1,0,0,0,0,0,0
January,25,0,8,0,103,7,0,1,0,0,0,1,6,0,0,0,6,2,0,0,6,2,8,10,5,3,1,0,1,0,0,0,0
January,26,0,18,0,104,3,0,0,0,0,0,0,7,0,0,0,8,2,0,0,0,1,2,16,7,10,2,0,0,0,0,0,0
January,27,0,7,0,57,0,0,0,0,0,0,0,3,0,0,0,3,2,0,0,1,1,0,9,2,7,0,0,2,0,0,0,0
January,28,0,3,0,3,2,0,0,0,0,0,0,4,0,0,0,3,2,0,0,3,2,3,9,8,9,0,2,0,0,0,0,0
January,29,0,7,0,10,4,0,1,0,0,0,1,7,0,0,1,11,3,2,0,4,1,3,7,3,9,0,0,1,0,0,0,0
January,30,0,5,0,87,4,0,1,0,0,0,2,8,0,0,0,6,1,1,0,4,1,0,6,2,8,0,0,0,0,0,0,0
January,31,0,0,0,103,13,0,1,0,0,0,1,11,0,0,0,10,2,0,0,3,3,0,5,6,8,1,0,1,1,0,0,0
February,1,0,0,0,112,2,0,0,0,0,0,0,10,0,0,0,5,4,0,0,5,1,1,13,6,5,3,0,2,0,0,0,0
February,2,0,0,0,95,6,0,0,0,0,0,1,8,0,0,0,15,1,0,0,2,0,2,11,7,6,1,0,0,0,0,0,0
February,3,0,0,0,58,0,0,0,0,0,0,0,4,0,0,0,9,1,0,0,1,2,0,14,5,11,0,0,0,0,0,0,0
February,4,0,0,0,2,1,0,0,0,0,0,1,3,0,0,0,4,2,0,0,1,0,0,9,7,10,0,0,0,0,0,0,0
February,5,0,0,0,15,3,0,0,0,0,0,0,6,0,0,0,11,2,0,0,1,1,1,3,4,7,1,0,1,1,0,0,0
February,6,0,0,0,116,7,0,0,0,0,0,0,12,0,0,0,7,5,0,0,2,2,3,7,4,5,0,0,2,0,0,0,0
February,7,0,0,0,121,10,0,1,0,0,0,0,11,0,0,0,10,2,0,0,6,0,5,6,12,2,0,0,1,0,0,0,0
February,8,0,0,0,127,3,0,1,0,0,0,0,6,0,0,0,8,4,0,0,3,1,7,10,7,12,1,0,1,1,0,0,0
February,9,0,0,0,122,3,0,0,0,0,0,0,1,0,0,0,6,1,0,0,2,1,3,9,6,8,4,0,0,0,0,0,0
February,10,0,0,0,70,0,0,0,0,0,0,0,1,0,0,0,4,3,0,0,4,0,3,8,1,4,0,0,1,0,0,0,0
February,11,0,0,0,12,1,0,0,0,0,0,0,7,0,0,0,2,2,0,0,1,1,0,12,10,9,0,3,0,0,0,0,0
February,12,0,0,0,14,6,0,0,0,0,0,2,9,0,0,1,6,1,0,0,6,2,2,9,15,4,1,0,1,0,0,0,0
February,13,0,0,0,94,9,0,0,0,0,0,0,6,0,0,0,6,3,0,0,7,5,5,11,6,7,1,0,0,0,0,0,0
February,14,0,0,0,92,5,0,0,0,0,0,1,5,0,0,0,10,1,0,0,2,2,8,15,11,5,1,0,0,0,0,0,0
February,15,0,0,0,112,5,0,0,0,0,0,1,4,0,0,0,9,3,0,0,2,7,8,12,14,10,0,0,1,2,0,0,0
February,16,0,0,0,97,5,0,1,0,0,0,1,9,0,0,0,10,1,0,0,1,0,1,12,15,9,1,0,0,0,0,0,0
